New_date,Closing,RET,MA200,MA50
12/6/2021,23349.38,-0.017714589,27130.3798,24905.6782
12/7/2021,23983.66,0.026802334,27094.8734,24901.5082
12/8/2021,23996.87,0.00055064,27061.8814,24897.27
12/9/2021,24254.86,0.010693604,27029.93205,24892.3594
12/10/2021,23995.72,-0.010741529,26998.3115,24879.0038
12/13/2021,23954.58,-0.001715944,26964.9212,24866.5826
12/14/2021,23635.95,-0.013390679,26934.50975,24858.5742
12/15/2021,23420.76,-0.00914605,26901.2427,24844.9064
12/16/2021,23475.5,0.002334516,26873.71915,24835.0866
12/17/2021,23192.63,-0.012122768,26842.41945,24804.9046
12/20/2021,22744.86,-0.01949537,26810.66445,24763.0448
12/21/2021,22971.33,0.009907731,26776.119,24715.9696
12/22/2021,23102.33,0.005686562,26745.4467,24678.7644
12/23/2021,23193.64,0.003944625,26715.92345,24642.2304
12/24/2021,23223.76,0.001297789,26689.3381,24600.0864
12/28/2021,23280.56,0.002442785,26661.87475,24557.5026
12/29/2021,23086.54,-0.008368914,26632.76985,24503.4892
12/30/2021,23112.01,0.001102632,26601.40185,24443.009
12/31/2021,23397.67,0.012284049,26574.6916,24390.6118
1/3/2022,23274.75,-0.005267363,26546.89655,24333.5682
1/4/2022,23289.84,0.000648132,26518.2073,24276.7244
1/5/2022,22907.25,-0.01656376,26487.57295,24214.104
1/6/2022,23072.86,0.007203581,26455.90865,24162.9864
1/7/2022,23493.38,0.018061644,26428.42085,24121.7394
1/10/2022,23746.54,0.010718156,26402.72685,24089.1254
1/11/2022,23739.06,-0.000315043,26378.93525,24060.8202
1/12/2022,24402.17,0.02755027,26361.3554,24046.8702
1/13/2022,24429.77,0.001130408,26344.0062,24034.9706
1/14/2022,24383.32,-0.001903179,26324.24065,24018.1332
1/17/2022,24218.03,-0.006801895,26303.6393,24005.0836
1/18/2022,24112.78,-0.004355407,26281.3157,23992.0638
1/19/2022,24127.85,0.000624785,26260.0632,23978.3582
1/20/2022,24952.35,0.033601231,26240.13125,23977.4824
1/21/2022,24965.55,0.000528868,26221.585,23971.8336
